Epic Key,Title,Description,Owner,Owner Lane,Sprint Coverage,Priority,Labels
ACT-EA,Core domain model and state machines,"Lock the launch object model, transition rules, hashing, idempotency, and event taxonomy before feature work branches.",Lane A,Lane A - Control plane/backend,Sprint 0,Highest,"launch-1,action-wallet,act-ea"
ACT-EB,"Auth, identity, and approval security","Ship passkey-first identity, approval-link hardening, host trust records, and revocation paths that fail closed.",Lane A,Lane A - Control plane/backend,Sprint 1,Highest,"launch-1,action-wallet,act-eb"
ACT-EC,Public API,"Expose the host-first Action Wallet lifecycle through a bounded public API with auth, idempotency, and docs.",Lane A,Lane A - Control plane/backend,"Sprint 1, Sprint 2, Sprint 4",Highest,"launch-1,action-wallet,act-ec"
ACT-ED,Action Wallet and policy engine,"Bind approval, standing rules, policy evaluation, and grant semantics into one bounded wallet envelope.",Lane A,Lane A - Control plane/backend,Sprint 1,Highest,"launch-1,action-wallet,act-ed"
ACT-EE,Payments and settlement,"Launch one managed payment path, delay capture until verification passes, and bind money state into receipts.",Lane A,Lane A - Control plane/backend,Sprint 3,Highest,"launch-1,action-wallet,act-ee"
ACT-EF,Evidence and verification,"Define evidence contracts, verify runs, generate receipts, and surface insufficiency or override paths.",Lane A,Lane A - Control plane/backend,Sprint 2,Highest,"launch-1,action-wallet,act-ef"
ACT-EG,Consumer web surfaces,"Ship the wallet, approvals, receipts, disputes, integrations, and blocked-state surfaces users actually touch.",Lane B,Lane B - Frontend/product surfaces,"Sprint 1, Sprint 2, Sprint 3",Highest,"launch-1,action-wallet,act-eg"
ACT-EH,Operator console,"Give operators the queue, detail, rescue, dispute, and audit surfaces needed to keep launch runs supportable.",Lane B,Lane B - Frontend/product surfaces,"Sprint 2, Sprint 3",Highest,"launch-1,action-wallet,act-eh"
ACT-EI,Host pack,"Package the public API through MCP, OpenClaw, SDKs, CLI, and reference integrations that get hosts to first approval fast.",Lane C,Lane C - Host/runtime/integrations,Sprint 4,Highest,"launch-1,action-wallet,act-ei"
ACT-EK,"Observability, security, and reliability","Instrument, alert, review, smoke-test, and harden the system so launch reliability is measurable and reversible.",Lane D,Lane D - Quality/ops/security,"Sprint 1, Sprint 3, Sprint 4, Sprint 6",Highest,"launch-1,action-wallet,act-ek"
ACT-EL,"Docs, launch, and support","Reset the narrative, publish the API and integration docs, and prepare launch, support, and post-launch operating artifacts.",Lane D,Lane D - Quality/ops/security,"Sprint 0, Sprint 4, Sprint 5, Sprint 6",High,"launch-1,action-wallet,act-el"
